GERENCIA_SERVICIOS,EQUIPO_COMERCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,TARIFA,CONEXIONES_AGUA,CONEXIONES_ALCANTARILLADO,ANIO,MES,FECHA_CORTE
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,SANTA ROSA,150139,COMERCIAL,84,81,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,SANTA ROSA,150139,INDUSTRIAL,2,2,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,LIMA,LIMA,SANTA ROSA,150139,ESTATAL,0,0,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,070101,SOCIAL,145,73,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,070101,DOMESTICO,68749,59264,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,070101,COMERCIAL,3335,2463,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,070101,INDUSTRIAL,213,193,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,070101,ESTATAL,3,2,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,BELLAVISTA,070102,SOCIAL,5,5,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,BELLAVISTA,070102,DOMESTICO,11563,9168,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,BELLAVISTA,070102,COMERCIAL,726,425,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,BELLAVISTA,070102,INDUSTRIAL,14,16,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,BELLAVISTA,070102,ESTATAL,0,0,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CARMEN DE LA LEGUA,070103,SOCIAL,3,3,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CARMEN DE LA LEGUA,070103,DOMESTICO,3903,3264,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CARMEN DE LA LEGUA,070103,COMERCIAL,130,79,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CARMEN DE LA LEGUA,070103,INDUSTRIAL,9,8,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,CARMEN DE LA LEGUA,070103,ESTATAL,0,0,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PERLA,070104,SOCIAL,6,6,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PERLA,070104,DOMESTICO,10217,8172,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PERLA,070104,COMERCIAL,489,325,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PERLA,070104,INDUSTRIAL,15,15,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PERLA,070104,ESTATAL,0,0,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PUNTA,070105,SOCIAL,0,0,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PUNTA,070105,DOMESTICO,1048,614,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PUNTA,070105,COMERCIAL,71,48,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PUNTA,070105,INDUSTRIAL,6,4,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,LA PUNTA,070105,ESTATAL,0,0,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,070106,SOCIAL,246,73,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,070106,DOMESTICO,67105,66441,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,070106,COMERCIAL,1222,1172,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,070106,INDUSTRIAL,49,47,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,VENTANILLA,070106,ESTATAL,0,0,2026,202605,20260531
GERENCIA NORTE,CS CALLAO,CALLAO,PROV. CONST. DEL CALLAO,MI PERU,070107,SOCIAL,34,15,2026,202605,20260531
