GERENCIA_SERVICIOS,EQUIPO_COMERCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,TARIFA,CONEXIONES_AGUA,CONEXIONES_ALCANTARILLADO,ANIO,MES,FECHA_CORTE
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SAN JUAN DE MIRAFLORES,150133,DOMESTICO,59149,56423,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SAN JUAN DE MIRAFLORES,150133,COMERCIAL,1797,1604,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SAN JUAN DE MIRAFLORES,150133,INDUSTRIAL,142,129,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SAN JUAN DE MIRAFLORES,150133,ESTATAL,1,0,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,150143,SOCIAL,382,158,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,150143,DOMESTICO,68243,67767,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,150143,COMERCIAL,1609,1500,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,150143,INDUSTRIAL,158,156,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,150143,ESTATAL,2,2,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SANTA MARIA DEL MAR,150138,SOCIAL,0,0,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SANTA MARIA DEL MAR,150138,DOMESTICO,374,350,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SANTA MARIA DEL MAR,150138,COMERCIAL,2,2,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SANTA MARIA DEL MAR,150138,INDUSTRIAL,1,1,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,SANTA MARIA DEL MAR,150138,ESTATAL,0,0,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,VILLA EL SALVADOR,150142,SOCIAL,168,138,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,VILLA EL SALVADOR,150142,DOMESTICO,69366,68415,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,VILLA EL SALVADOR,150142,COMERCIAL,2202,2072,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,VILLA EL SALVADOR,150142,INDUSTRIAL,423,417,2026,202605,20260531
GERENCIA SUR,CS VILLA SALVADOR,LIMA,LIMA,VILLA EL SALVADOR,150142,ESTATAL,5,3,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,BARRANCO,150104,SOCIAL,8,7,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,BARRANCO,150104,DOMESTICO,5611,3840,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,BARRANCO,150104,COMERCIAL,976,679,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,BARRANCO,150104,INDUSTRIAL,67,64,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,BARRANCO,150104,ESTATAL,4,4,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,CHORRILLOS,150108,SOCIAL,75,3057,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,CHORRILLOS,150108,DOMESTICO,42425,37309,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,CHORRILLOS,150108,COMERCIAL,2084,1721,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,CHORRILLOS,150108,INDUSTRIAL,315,296,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,CHORRILLOS,150108,ESTATAL,13,11,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,LINCE,150116,SOCIAL,1,1,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,LINCE,150116,DOMESTICO,8270,5955,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,LINCE,150116,COMERCIAL,2115,1555,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,LINCE,150116,INDUSTRIAL,176,159,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,LINCE,150116,ESTATAL,4,4,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,MIRAFLORES,150122,SOCIAL,7,6,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,MIRAFLORES,150122,DOMESTICO,12405,10036,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,MIRAFLORES,150122,COMERCIAL,3390,2513,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,MIRAFLORES,150122,INDUSTRIAL,390,389,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,MIRAFLORES,150122,ESTATAL,10,10,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SAN ISIDRO,150131,SOCIAL,4,4,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SAN ISIDRO,150131,DOMESTICO,8929,7799,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SAN ISIDRO,150131,COMERCIAL,2000,1675,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SAN ISIDRO,150131,INDUSTRIAL,217,220,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SAN ISIDRO,150131,ESTATAL,8,8,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SANTIAGO DE SURCO,150140,SOCIAL,40,19,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SANTIAGO DE SURCO,150140,DOMESTICO,48712,42769,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SANTIAGO DE SURCO,150140,COMERCIAL,3769,2420,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SANTIAGO DE SURCO,150140,INDUSTRIAL,475,463,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SANTIAGO DE SURCO,150140,ESTATAL,11,10,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SURQUILLO,150141,SOCIAL,12,11,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SURQUILLO,150141,DOMESTICO,11359,9426,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SURQUILLO,150141,COMERCIAL,2326,1668,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SURQUILLO,150141,INDUSTRIAL,188,168,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SURQUILLO,150141,ESTATAL,1,1,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SAN BORJA,150130,SOCIAL,8,8,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SAN BORJA,150130,DOMESTICO,18050,12837,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SAN BORJA,150130,COMERCIAL,1855,1143,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SAN BORJA,150130,INDUSTRIAL,116,124,2026,202605,20260531
GERENCIA SUR,CS SURQUILLO,LIMA,LIMA,SAN BORJA,150130,ESTATAL,5,5,2026,202605,20260531
COMERCIAL,GRANDES CLIENTES,LIMA,LIMA,GRANDES CLIENTES,150101,SOCIAL,200,153,2026,202605,20260531
COMERCIAL,GRANDES CLIENTES,LIMA,LIMA,GRANDES CLIENTES,150101,DOMESTICO,252,223,2026,202605,20260531
COMERCIAL,GRANDES CLIENTES,LIMA,LIMA,GRANDES CLIENTES,150101,COMERCIAL,8306,3958,2026,202605,20260531
COMERCIAL,GRANDES CLIENTES,LIMA,LIMA,GRANDES CLIENTES,150101,INDUSTRIAL,591,531,2026,202605,20260531
COMERCIAL,GRANDES CLIENTES,LIMA,LIMA,GRANDES CLIENTES,150101,ESTATAL,6110,5754,2026,202605,20260531
